input,output,label
总体上，我国居民在金融消费层面上的表现较好，但在金融行为和技能的不同方面体现出较大的差异性，还需要进一步提升基础金融知识水平。,"Overall, China's residents perform better at the level of financial consumption, but in different aspects of financial behavior and skills, there is also a need to further improve the level of basic financial knowledge.",0
但由于治疗仍需要30余万费用，一时想不到好的办法募捐，才做出了这种行为。,"Since more than 300 thousand yuan was required for treatment, Ji Jiali had no other good idea, and she did so.",1
有一些传言 说黑洞将吞噬宇宙中的一切， 但实际上你必须离得非常近才会真的掉进去。,"There are some rumors that black holes will eat everything in the universe, but in reality you have to get really close to actually fall in.",1
从目前积分榜的形式来看，塞尔维亚队已经基本无缘奖牌，这就意味着她们可以在对阵中国女排的比赛中“轻装上阵 ” ， 放下包袱去全力冲击对手，而中国队背负着夺冠压力，状态反而可能会出现起伏。,"From the current form of the table, the Serbian team has basically failed to win a medal, which means that they can ""lighten up"" in the match against the Chinese women's volleyball team and put down their burden to fully attack the opponent, while the Chinese team is under pressure to win the championship, and the situation may fluctuate.",0
周四两名地庭法官诺莎哈，以及马兹兰在控辩双方陈词后，批准控方申请，将6名被告所涉及的反贩卖人口和反贩运移民法令的指控，移交至高庭审理；至于伪造文件的指控则将于10月3日在地庭过堂，以等待控方移交文件予辩方。,"On Thursday, two district court judges, Noshaha and Mazlan, approved the prosecution's application to transfer the charges of anti-trafficking in persons and anti-trafficking in migrants decrees involving the six defendants to the high court for trial after the arguments of both the prosecution and the defense. The charges of forgery of documents will be heard in the district court on October 3, waiting for the prosecution to hand over the documents to the defense.",0
如果其中的一个在吞噬银河系， 它看上去将会是这个样子。,"If one of them is eating the galaxy, it will look like this.",0
当地的群众生活十分艰苦。,The local people live very hard.,1
你叫餐厅送上来,You ask the restaurant to have it delivered,1
希拉克执政期间，中法两国双边贸易额快速增长，两国在航空、核能、铁路运输等多个领域的合作都取得了突破性的进展。,"During Chirac's administration, the bilateral trade volume between China and France grew rapidly, and the two countries made breakthrough progress in cooperation in aviation, nuclear energy, railway transportation and other fields.",1
摄影师也会很认真教你动作。,Photographers will also teach you movements seriously.,1
我永远不会忘记这一天，因为这一天也是我的生日。,"I will never forget this day, because this day is also my birthday.",1
五、最近看到一些朋友边怼反贼边驳左癫，还挺动真气，我觉得大可不必。,"5. Recently, I saw some friends refuting left epilepsy while fighting against thieves, and they were quite angry. I don't think it is necessary.",0
根据三江源国家公园管理局长江源园区可可西里管理处统计，藏羚羊回迁数量总体呈逐年上升态势，2019年藏羚羊回迁数量为4860只，比2018年增加338只。,"According to the statistics of the Kekexili Management Office of the Yangtze River Source Park of the Sanjiangyuan National Park Administration, the number of Tibetan antelopes returning is generally increasing year by year. In 2019, the number of Tibetan antelopes returning was 4,860, an increase of 338 over 2018.",0
26日凌晨的大风骤雨对流天气，驱散了连日来笼罩在北京地区的高温酷暑，新一轮降雨天气将持续数日。,"The heavy wind, showers and convective weather in the early morning of the 26th dispersed the heat and heat that had been shrouded in Beijing for several days, and a new round of rain and weather will last for several days.",0
完全不能接受,Completely unacceptable,1
不同的是 我们现在可以找出证据， 我们可以通过比较社会，平等程度不同的社会， 来了解不平等导致的影响。,"The difference is that we can now find the evidence, and we can understand the impact of inequality by comparing societies with varying degrees of equality.",1
抱歉，作为一位女生，我再也无法继续沉默了。,"Sorry, as a girl, I can't be silent any longer.",1
推荐理由:具有修护、保湿、嫩白及收敛肌肤的功效哟，能改善肌肤粗糙肌毛孔粗大的问题，很适合混合性肤质，洗的干净不干燥。,"Reason for recommendation: It has the effects of repairing, moisturizing, whitening and astringent skin. It can improve the problem of rough skin and large pores. It is very suitable for combination skin.",0
我认为不平等能够引起社会分裂和腐化的这种直觉 在法国大革命之前就存在了。,My intuition that inequality can divide and corrupt societies dates back to before the French Revolution.,0
伊利股份表示，将部分已回购的股份予以注销，有利于进一步提升每股收益水平，切实提高公司股东的投资回报。,Inner Mongolia Yili Industrial Group expressed that writing off part of the repurchased shares would be in favor of further increasing the level of earnings per share and effectively improving the return on investment for company shareholders.,1
我如果想取消？可以吗？,If I want to cancel? Can I?,1
王毅就加强中非双方在安理会合作提出四点建议。,Wang Yi made four suggestions on strengthening cooperation between China and Africa in the Security Council.,1
该害虫危害玉米、甘蔗、高粱等80多种农作物，取食量大，可造成高达70%的产量损失。,"The insect threatens more than 80 crops, including corn, sugar cane and sorghum, and in cases of heavy feeding, may cause a yield loss of up to 70%.",1
又有新综艺上线。,There is also a new variety show online.,0
妇女的地位， 他们对小家庭的坚守程度， 在富裕发达的国家之中， 是在两个极端。,"The status of women, the degree to which they adhere to the small family, in the rich and developed countries, is at the two extremes.",0
但这名人士也说，若美中紧张关系导致此时会谈意愿不高，双方可能会同意，赖海哲与刘鹤5月8日的电话会议，即已满足贸易协议中每半年会谈一次的条款。,"But the person also said that if tensions between the United States and China lead to a lack of willingness to talk at this time, the two sides may agree that the May 8 conference call between Lai Haizhe and Liu He has met the terms of the trade agreement for semi-annual talks.",0
马里尼切夫说，价值的变化受卢布贬值和疫情等影响。,Marinichev said that the change in value is affected by the devaluation of the ruble and the epidemic.,0
烧五花肉饭变泡菜五花肉饭,Roasted pork belly rice becomes kimchi pork belly rice,1
TCL集团坚持既定的经营战略，不断提高竞争力，持续健康发展。,"TCL Group adheres to the established business strategy, continuously improves its competitiveness and continues to develop healthily.",1
谍战剧老面孔柳云龙演一个结巴男主角-新华网,"A Familiar Face in Spy TV Series, Liu Yunlong, Plays a Stuttering Hero - Xinhua Net",0
香港哪条街通向圣街？,Which street in Hong Kong leads to Holy Street?,0
目前全市有913个肉羊规模化养殖场、合作社，肉羊饲养量达500多万只，还建设了两条130万只肉羊屠宰规模的加工生产线，羊群正成为该地产业扶贫的“领头羊 ” 。,"At present, there are 913 large-scale meat and sheep farms and cooperatives in the city. The number of meat and sheep raised has reached more than 5 million. Two processing and production lines with a slaughter scale of 1.3 million meat and sheep have also been built. Sheep herds are becoming the ""leading sheep"" for poverty alleviation in the local industry.",0
菲奥拉蒙蒂表示，通过这一系列看似很小的课税措施，意政府预计可获得30亿欧元的税收。,"Fioramonti said that through this series of seemingly small tax measures, the Italian government is expected to receive 3 billion euros in taxes.",1
预计到2020年，越南宏观经济继续保持基本平稳，各项自贸协定的落实将助推贸易发展，经济结构调整、营商环境改善工作得到进一步加强，因受贸易摩擦的影响，越南对外出口活动将呈现下降态势。,"It is expected that by 2020, Vietnam's macro-economy will continue to remain basically stable, the implementation of various FTAs will promote trade development, economic restructuring and the improvement of the business environment will be further strengthened, and Vietnam's foreign export activities will show a downward trend due to the impact of trade friction.",1
作为红博会东道主，湘潭展区亮点纷呈。,"As the host of the Red Expo, Xiangtan exhibition area has many bright spots.",0
双子座流星雨的一个显著特点是流星体速度较慢，色彩丰富，火流星也不少，既适合目视，也适合天文摄影的初学者进行拍摄。,"A notable feature of the Geminid meteor shower is the fact that meteors are at a slower velocity, with rich colors and a lot of fireballs, which are suitable both for visual viewing and for beginners to shoot astrophotography.",1
如果一个人发生了心脏骤停，呼吸没有了，心跳没有了，你掐人中是没有任何作用的。,"If a person has a cardiac arrest, breathing is gone, the heartbeat is gone, you pinch the person is of no use.",1
高校教师每两年要至少有两个月到行业企业挂职锻炼，以此提高教师创新创业教育的意识和能力。,"College teachers should have at least two months of temporary training in industrial enterprises every two years, so as to improve teachers' awareness and ability of innovation and entrepreneurship education.",1
中方愿同非方加强协调，坚定推进非洲自主和平行动的能力建设。,China is willing to strengthen coordination with the African side and resolutely promote the capacity building of African independent peace operations.,1
据不完全统计，目前已有包括德国、英国、加拿大、澳大利亚等在内的多个国家认可中国高考成绩。,"According to the incomplete statistics, there have been many countries acknowledging the grades of National College Entrance Examination in China so far, including Germany, Britain, Canada and Australia.",0
我的日常工作,My daily work.,1
1984年萨拉热窝冬奥会在这里成功举办，再过两个月，2022年北京冬奥会也将拉开帷幕，将向世界呈现一场简约、安全、精彩的盛会。,"The 1984 Sarajevo Winter Olympics was successfully held here. Two months later, the 2022 Beijing Winter Olympics will also kick off, presenting a simple, safe and wonderful event to the world.",1
这个时候便是需要急救的时候。,This is when emergency aid is needed.,1
这能作为防晒霜的基础， 因为防晒霜是通过吸收紫外光来起作用的。,"This can be used as the basis for sunscreen, since sunscreen works by absorbing UV light.",1
婚纱照质量真的不错，就像网上说的一样，我和爱人拍的很帅和漂亮，我们很满意。,"The quality of wedding photos is really good, just like what is said in the Internet, the photos my wife and I took are very handsome and beautiful, and we are very satisfied.",1
"据了解,电影的重头戏都是实地取景香港的世界地标性建筑,加上顶尖的特效制作团队,带来震撼逼真的视觉冲击。","Sources tell us that the film’s highlights include on-location shooting at world-famous Hong Kong landmarks, and coupled with the industry-leading special effects team, we expect the film to deliver a mind-blowing cinematic experience.",0
主要产区产地（地中海）：,Main production area (Mediterranean Sea)：,1
因此，一切政策需为了人民和企业。,"Therefore, all policies need to be for the people and enterprises.",1
此外，拐卖儿童的预防，从家庭到社会，都还可以做得更好。,"In addition, the prevention of child trafficking, both at home and in society, could be done better.",1
阮氏金银女士在授勋仪式上发表讲话时强调，越老两个民族之间密不可分的关系是从源远流长的历史进程中形成的，越南与老挝两国人民之间的良好传统友谊、始终如一以及无私的关系由胡志明主席和凯山·丰威汉主席亲手缔造和两党、两国历届领导和人民精心培育的，成为两国无价之宝。,"In her speech at the award ceremony, Ms. Ruan Jinyin emphasized that the inseparable relationship between the two ethnic groups of Vietnam and Laos was formed from a long historical process. The good traditional friendship, consistency and selfless relationship between the people of Vietnam and Laos was created by President Ho Chi Minh and President Kaishan Fengweihan and carefully cultivated by the two parties and the successive leaders and people of the two countries has become the priceless treasure of the two countries.",0
金夫人的工作人员，无论是顾问，化妆师还是摄影师都超赞的。,"Mrs. Kim’s staff, both consultants, makeup artists and photographers, were highly praised.",0
【中商海外直订】Descriptive Catalogue of the Writings of Sir Walter,【China Business Overseas Direct Order】Descriptive Catalogue of the Writings of Sir Walter,1
然而，考了PMP就能保证项目管理工作畅通无阻了吗？,"However, does PMP can make us do well in project management works?",1
21日、22日两日，北京市初中入学特长生考查工作由各区教委统一组织实施。,"The 21st and 22nd two days, Beijing junior high school admissions special students examination work by the unified organization of the district education committee.",0
江西３年内将培训万名乡村小学音体美教师-新华网,"Jiangxi will train 10,000 teachers of sound, body and beauty in rural primary schools within 3 years-Xinhuanet",0
这是多么奇妙的事情啊。,What a wonderful thing it is.,1
据中央广播电视总台中国之声《新闻和报纸摘要》报道，连日来，多位国际政要、各国使节向新中国成立70周年表示祝贺，高度评价新中国发展成就及其对全球发展的重要意义。,"According to the ""News and Newspaper Digest"" by China Voice of China Central Radio and Television, several international dignitaries and envoys from various countries have congratulated the 70th anniversary of the founding of New China and highly appraised the development achievements of New China and its significance for global development. .",0
法律与公正党政府表示，该条约不尊重宗教，要求在学校里教授自由派的社会政策。,The Law and Justice Party government stated that the treaty does not respect religion and requires that liberal social policies be taught in schools.,1
俄罗斯总统、俄联邦武装力量最高统帅普京抵达喀琅施塔得参加庆祝活动，该地15艘舰艇和潜艇接受了检阅。,Russian President and Supreme Commander of the Armed Forces of the Russian Federation Putin arrived in Kronstadt to participate in the celebration. 15 ships and submarines there were inspected.,0
杨浩东从理想信念与初心使命、自我革命与青春大党、党的领袖和党的理论等三个方面，结合自身感悟、亲身经历，深入浅出、全面系统地阐释了全会精神的核心要义和实践要求。,"From the three aspects of ideal beliefs and original mission, self-revolution and the great party of youth, the party's leader and the party's theory, Yang Hoi Dong combined his own perception and personal experience, deepened and comprehensively systematically explained the core principles and practical requirements of the spirit of the plenary session.",0
麻烦您联系下骑手,Please contact the rider,1
而在此前的24日至25日，北京全市处在高温蓝色预警中，大部地区日最高气温在37℃左右，局地出现超过40℃的高温。,"From the 24th to the 25th, the city of Beijing was in the blue warning of high temperature. The daily maximum temperature in most areas was around 37°C, and the local high temperature exceeded 40°C.",1
但路透社报导，哈利和梅根已和这本书撇清关系，说他们未接受作者访问，也未提供任何内容。,"However, Reuters reported that Harry and Megan had disassociated themselves from the book, saying that they had not accepted the author's interview or provided any content.",0
一个想分享个人经历的编程小白。,A programming white who wants to share his personal experience.,0
中国商务部指出，这是美国首次在反补贴案件中立案调查所谓”人民币汇率低估“项目，中方对此坚决反对。,"The Ministry of Commerce of China pointed out that this is the first time that the United States has initiated an investigation into the so-called ""RMB undervaluation"" project in an anti-subsidy case. China firmly opposes this.",1
周围是真不怎样，饭店五金店寥寥无几，而且饭店味道一般般。,"It's really not so good around. There are few hotel hardware stores, and the restaurant tastes so-so.",1
刚上任的德国总理肖尔茨也参加了视频民主峰会,"German Chancellor Scholz, who just took office, also participated in the Video Democracy Summit",1
眉尾也被剃了，对于日常不画眉的有点尴尬。,"The end of the eyebrows were also shaved, which is a bit embarrassing for those who don't thrush eyebrows every day.",1
请问可以帮忙跟进一下吗？,Can you follow up?,1
经医院隔离治疗后，这两名感染者核酸检测结果均转为阴性，目前已返回各自的居住地。,"After isolation and treatment in the hospital, the nucleic acid test results of the two infected people turned negative and have now returned to their respective places of residence.",1
国家飓风中心说，预计飓风“汉娜”会挟带暴雨，扫过得州南部与东北部部分地区，雨势或引发部分溪水暴涨以及威胁生命的山洪爆发。,"Reports said that the most severely affected by Hurricane ""Hanna"" is the area south of Corpus Christi to the mouth of the Rio Grande River, while widespread flash floods may break out in the Rio Grande Valley.",0
另有其它长度，可定制生产。,Other lengths are available and can be custom made.,1
这个就是一个大坑，我就是活生生被骗的例子，在头脑冲动的时候，交了一万多的定金。,"This is a big pit. I am a living example of being cheated. When my mind is impulsive, I paid more than 10,000 deposits.",0
基本上，它所追问的是： 是否富爸爸有富孩子 穷爸爸有穷孩子， 或者这两者之间没有任何关系？,"Basically, it's asking: do rich fathers have rich sons and poor fathers have poor sons, or is there no relationship between the two?",0
该研究的作者之一、马萨诸塞州塔夫茨大学营养学研究员张芳芳博士表示，美国人仍旧摄入了过多可能会引发心脏病、糖尿病、肥胖等疾病的食物，这些疾病都是美国国民最常罹患的疾病。,"One of the authors of the study, Dr. Zhang Fangfang, a nutrition researcher at Tufts University in Massachusetts, said that Americans still consume too much food that may cause heart disease, diabetes, obesity and other diseases, which are the most common diseases of American citizens are suffering.",0
太过备受瞩目，去到哪里大家都在看，很不自在！(其实有点爽),"Too much attention, go where everyone is looking, very uncomfortable! (Actually a little cool)",0
社会越是不平等 就越倾向于保留死刑。,"The more unequal society is, the more inclined it is to retain the death penalty.",1
第一，因为苹果隐私政策的调整，Meta 很难再拿到用户的数据信息，影响了广告投放的效率。,"First, due to the adjustment of Apple's privacy policy, it is difficult for Meta to obtain user data information, which affects the efficiency of advertising.",1
如有问题请联系在线客服！,"If you have any questions, please contact online customer service!",1
没有一丁点儿抗风险能力的慎买，网购有风险，购物需谨慎。,"There is no risk-resistant prudent buying, online shopping is risky, and shopping needs to be cautious.",0
中国网球公开赛自从2004年创办以来，已经走过了15个春秋，今年是第16次举办。,"Since its establishment in 2004, the China Open has gone through 15 spring and autumn years. This year is the 16th time it has been held.",0
波兰先前的中间派执政的政府2015年批准了该公约。,Poland’s previous centrist ruling government ratified the convention in 2015 .,1
保险通常是一份长达几十年的长期契约，我们在购买保险的时候，是不是应该认真思考一下，我们所选择的这个“中介”，是不是一个可以与我们长期相伴、在很多年后也会给我们提供服务的“保险中介人”呢？,"Insurance is usually a long-term contract that lasts for decades. When we buy insurance, should we seriously think about whether the ""intermediary"" we choose is an ""insurance intermediary"" that can accompany us for a long time and will provide services to us many years later?",1
周围是真不怎样，饭店五金店寥寥无几，而且饭店味道一般般。,"The surrounding is really not good, there are few hotel hardware stores, and the taste of the hotel is average.",1
波兰将退出欧洲防止对女子施暴的条约,Poland to Withdraw from European Treaty on Prevention of Violence against Women,1
你好，这个订单我已经等了好久好久了,"Hello, I've been waiting a long time for this order",1
可如何联系？,How can I contact you?,1
坑爹，他们就是原来骗人的龙头装饰，现在改成大美，好像又倒闭了又改成其他的。,"Cheaters, their company is the Longtou Decoration originally, wahich was renamed as Damei later, and it seems that Damei has closed down and is renamed as another name.",0
根据要求，到２０２０年，各高校创新创业实践基地面积，本科学校要达到３０００平方米以上，高职学校要达到２０００平方米以上。,"According to the requirements, by 2020, the area of innovation and entrepreneurship practice bases in colleges and universities should reach more than 3000 square meters for undergraduate schools and more than 2000 square meters for higher vocational schools.",1
目前，有来自500多个城市的旅游者通过该平台预订跟团游、自由行、定制旅游、当地玩乐等产品，涉及100个国家和地区。,"At present, tourists from more than 500 cities use this platform to book products such as group tours, free travel, customized tours, and local fun, involving 100 countries and regions.",0
做最真实最善良的自己，依心而行，无憾今生；人生一条路，走自己的路；人生两件宝：身体好、心情好，漂漂亮亮活到老！,"Do the most real and kindest self, according to the heart, no regrets in this life; life a road, go your own way; life two treasures: good health, good mood, beautiful live to old age!",0
"剧中,他饰演的唐飞是林河警察厅刑事科科长,是一位颇有喜感甚至有点痞气的结巴警察,真实的身份则是一名中共地下党员。","In the drama, he plays Tang Fei, the head of the criminal section of the Linhe Police Department, a stuttering police officer who is quite comical and even a bit gangly, but whose real identity is a member of the Chinese Communist Party underground.",0
这是宁夏首部省级制定颁布的全面系统维护妇女合法权益的地方性条例，将于2019年11月1日起正式实施。,"This is the first local regulation formulated and promulgated at the provincial level in Ningxia to comprehensively and systematically safeguard the legitimate rights and interests of women. It will be officially implemented from November 1, 2019.",1
分析家和政治人物认为，在穷人和中产阶级经济困境加剧的此刻，扫荡异议人士作法反映政府的不稳和脆弱。,"Analysts and politicians believe that at the moment when the economic difficulties of the poor and the middle class are worsening, the dissidents’ approach reflects the instability and fragility of the government.",0
幸运的是我们在加州长滩非常安全。,"Fortunately, we are very safe in Long Beach, California.",1
并采用伺服与PLC实际测试把关，以确保为客户提供优质耐用的产品。,Servo and PLC are also used for practical testing to ensure that customers receive high-quality and durable products.,0
开幕式之后安排的中央球场的首战是一场WTA第一轮赛事，由中国金花彭帅对阵俄罗斯选手卡萨金娜，接下来的第二场比赛由美国新秀索菲亚·肯宁挑战2015年中网女单冠军穆古拉扎，就此揭开2019中网大幕。,"The first game of the Central Stadium arranged after the opening ceremony was a WTA first round match. China's Jinhua Peng Shuai played against Russian player Casa Jinna. The next second game was challenged by American rookie Sofia Kenning in the 2015 China Open women's singles champion Mugu Raza, which opened the 2019 China Open.",0
根据9月15日的消息，新地岛北极防空团改装S-400防空导弹系统的工作已经完成。,"According to the news on September 15, the modification of the S-400 anti-aircraft missile system of the Xindi Island Arctic Air Defense Regiment has been completed.",0
你可以看到，这些分数是 与刚才我展示过的不平等比较相关的， 我将反复展示这些数据。,"As you can see, these scores are related to the inequality comparison I just showed, and I will show these data repeatedly.",1
毛里求斯等国首次发现奥密克戎毒株感染病例-新华网,Mauritius and other countries found the first case of infection with Omicron strain - Xinhua,1
网传图片中，一位长发女孩呈“个”字型站在一块大木板前，木板上用黑色墨水写有“人肉靶子，十元一箭”的字样，她身前另一块木板上写有其银行账号与微信、支付宝账号等。,"In the images posted on the Internet, a girl with long hair is standing in front of a large board with the character of ""G"" on it. The words ""Human flesh target, ten yuan and one arrow are written in black ink."" Another board in front of her has her bank account number, WeChat ID, Alipay account number etc. written on it.",0
湖南日报12月10日讯（全媒体记者 周帙恒）9日 ， “ 智汇潇湘”2021中国国际轨道交通和装备制造产业人才峰会在株洲开幕。,"Message from Hunan Daily on December 10 (all-media journalist: Zhou Zhiheng), on December 9, “Smart Hunan” 2021 China International Rail Traffic and Equipment Manufacturing Industry Talent Summit was opened in Zhuzhou.",0
我最后想要总结的 就是我们能够通过减少我们的收入差距来 提高我们的真实的生活质量。,The last thing I want to summarize is that we can improve our real quality of life by reducing our income gap.,1
研讨会共有11个学术报告，内容包括胚胎发育和组织生成、转化医学、干细胞的机制研究和转化应用，生物材料及应用等。,"The seminar had 11 academic reports, including embryonic development and tissue generation, transformation medicine, mechanism research and transformation application of stem cells, biological materials and applications, etc.",0
已退捕4404人中，实现就业4267人，占已退捕渔民的96.89% 。,"Among them, 4,267 have been employed, accounting for 96.89% of all.",1
这是相互信任指数。,"Here, for instance, is trust.",0
同样的国家 同样的不平等测量方法， 问题一个接一个。,"The same countries have the same methods of measuring inequality, one problem after another.",0
和理想渐行渐远，甚至屠龙少年终成恶龙。,"And the ideals gradually move away, even the killer dragon boy ends up being the evil dragon.",1
设计，无处不在（小译林中小学阅读丛书 名师导读图文并茂 《中小学生阅读指导目录》推荐）,"Design, everywhere (translated forest primary and secondary school reading book, instructor reading graphics and moose ""primary and secondary school reading guide catalogue"" recommendation)",0
陈光明的及时预警，为影响区内315户1339名群众的安全撤离贏得了36小时的宝贵时间。,"Chen Guangming's timely warning won 36 hours of valuable time for the safe evacuation of 1,339 people from 315 households in the affected area.",1
我是第一次到店只是给他们看了我的户型图，他们并没有去实地量过房子，他们居然就能给我报价说我的135的房子7万是可以搞定的，大概的给我看了一下他们的材料也并不知道他们是什么品牌的材料。,"This is the first time I went to the store. I just showed them my house type map. They didn't go to measure the house on the spot. Unexpectedly, they could quote me that 70000 yuan of my 135 house can be done. They probably showed me their materials and didn't know what brand they were.",0
此外，中国的经验证明，在强大的研究基础上，必须有强有力的高层果断地凭借科学依据来作出正确决策，这才使得新冠疫情得到有效控制。,"Aside from strong research capabilities, China’s experience proves that strong leadership is necessary to make right decisions based on science, and was key to the effective control of COVID-19.",1
他表示，这一波疫情是半年以来最严峻的，未来两星期将会十分关键，要尽力防止病毒在社区进一步扩散。,"He said that this wave of epidemic is the most severe in six months, and the next two weeks will be very critical. We must try our best to prevent the virus from spreading further in the community.",0
但它同样也导致了地位的不确保性。,But it also led to the insecurity of status.,0
通过多年的实践和开发，现具备了质量过硬，主要生产液压式、移动式、全自动化检查井系列设备及配套装置。,"Based on practice and development of many years, it is engaged in production of hydraulic type, mobile type and automatic inspection shaft series of equipment and supporting devices with high quality.",1
我要求你立即取消，否则我报警,"I ask you to cancel immediately, otherwise I call the police",1
戴维斯说 ： “ 26日上午提交给众议院的堕胎合法化法案修正案的内容，实际上为妇女、医生提供了更多保障 。 ”,"""The content of the amendment to the abortion legalization bill submitted to the House of Representatives on the morning of the 26th actually provides more safeguards for women and doctors,"" Davis said.",0
【诺拉图书】正版，你不懂咖啡+葡萄酒+面包+巧克力+茶，烘焙、烹饪、品尝、制作、鉴赏、美食控、饮食文化，书籍有趣有料有范儿的时尚生活小百科,"[Nora books] genuine, you do not know coffee + wine + bread + chocolate + tea, baking, cooking, tasting, making, appreciation, food control, food culture, books fun and informative fashion life encyclopedia",0
12月11日，油管平台一条名为《杀戮机器》的微纪录片引起广泛关注。,"On December 11, a micro-documentary called ""Killing Machine"" on the oil pipeline platform attracted wide attention.",0
小编为大家带来洁面乳霜哪款好？,Xiaobian brings you cleansing cream which one is good?,1
此外，香港特区政府同时公布一系列支援旅游业的措施，协助业界渡过难关。,"In addition, the HKSAR Government also announced a series of measures to support the tourism industry to help the industry overcome the difficulties.",1
如果不看政党和派系，要先抵制的，就是这种不文明的作风。,"If you don't look at political parties and factions, the first thing to resist is this uncivilized style.",1
一旦参会者有一人检测呈阳性，即启动B计划，即杜特尔特总统在总统府马拉卡南宫发表SONA，现场则安排更少的听会席位。,"Once one of the participants tests positive, Plan B will be activated, that is, President Duterte will deliver SONA at the Malacanang Palace, the presidential palace, and fewer seats will be arranged on site.",1
至此，在这跨越近90载光阴的3000场意甲联赛中，国际米兰赢得了其中的1489场，打平834场，输掉677场，胜率为49.6%。,"So far, in the 3,000 Serie A matches spanning nearly 90 years, Inter Milan has won 1,489, drawn 834 and lost 677, with a winning rate of 49.6%.",1
《Axie Infinity》的火热将一种新的“palytoearn”模式传递给更多人，通过区块链与智能合约的帮助，玩家不再是单一的角色，除了能从游戏里获得乐趣及经济收益以外，还可以参与到游戏生态的治理之中。,"The popularity of “Axie Infinity” has passed on a new ""palytoearn"" model to more people. With the help of Blockchain and smart contracts, players are no longer a single character. In addition to getting fun and economic benefits from the game, they can also participate in the governance of the game ecosystem.",0
该市将合作项目列为今年全市招商引资“一号工程 ” ， 市委书记毛腾飞、市长阳卫国牵头，成立专项协调小组，高效对接、高位推进，全程为三一集团落户株洲发展提供优质高效服务，从意向接触到正式签署合作协议，前后不到100天。,"The city has listed the cooperation project as the ""No. 1 Project"" of attracting investment in the city this year. Under the leadership of Mao Tengfei, Secretary of the Municipal Committee, and Yang Weiguo, Mayor, a special coordination group has been set up to efficiently dock and advance at a high level. The whole process provides high-quality and efficient services for the development of the Sanyi Group in Zhuzhou. From intentional contact to the formal signing of the cooperation agreement, it took less than 100 days.",0
在很多大学，考试一般都会组成出题组，再由学科资深教师统筹组成试卷，考试阅卷也由承担该科的全体老师参与，这样就能在一定程度上克服试题重复的情况。,"In many universities, the examination is usually composed of question groups, and the examination papers are composed by the senior teachers of the subject, and the examination papers are also taken by all the teachers who are responsible for the subject, so that the repetition of the test questions can be overcome to a certain extent.",0
（亚庇11日讯）沙巴国民登记局说，由于特制防伪纸存货用光，所以自10月初开始就无法颁发报生纸给初生婴儿，至今累积的受影响者达3200人。,"(Message from Kota Kinabalu on the 11th day of the month) According to message from the National Registration Office of Sabah, new infants cannot be provided with paper for reporting of birth from the beginning of October due to supply shortage of the specially made security paper; totally 3200 infants have been influenced so far.",1
多次用#PRS_ORG#，今天这次是最差的体验,"I’ve used #PRS_ORG# for many times, but I had the worst experience today.",1
室内外保洁 ，我的日常工作,"Indoor and outdoor cleaning, my daily work",1
钟南山院士表示，虽说病毒难以预测，但从原始社会至今，人类已渡过了千难万险，如今现代社会有发达的医疗科技和社会管理措施，再加上全世界的医务人员、甚至老百姓都对科学应对新冠肺炎疫情有了基本认识，人们不会再像以前那么被动，“接下来要注意两个方面的工作，一是要研究全世界怎么加强合作，二是注重对人们心灵的抚慰” 。,"Academician Zhong Nanshan said that although the virus is difficult to predict, since the primitive society, human beings have survived thousands of difficulties. Nowadays, modern society has developed medical technology and social management measures. In addition, medical personnel and even ordinary people all over the world have a basic understanding of the scientific response to the new crown pneumonia epidemic. People will no longer be as passive as before.",0
航母战斗群中还包括“尚普兰湖”号导弹巡洋舰、“斯托克达尔”号导弹驱逐舰等。,"The aircraft carrier battle group also includes the guided missile cruiser ""Lake Champlain"" and the guided missile destroyer ""Stockdahl"".",1
经中共中央批准，中华人民共和国国家勋章和国家荣誉称号颁授仪式将于9月29日上午10时在北京人民大会堂隆重举行。,"With the approval of the CPC Central Committee, the award ceremony of the National Medal of the People's Republic of China and the national honorary title will be held at the Great Hall of the People in Beijing at 10:00 am on September 29.",0
（南海研究论坛） 美国海军在声明中称，俄亥俄级核潜艇“内华达号”此次对关岛的访问加强了美国和该地区盟友之间的合作，展示了美国的能力、灵活性、战备状态，以及对印太地区安全与稳定的持续承诺。,"(South China Sea Research Forum) It is claimed by united states navy in the statement that the visit of the Ohio Class nuclear submarine “USS Nevada” to Guam strengthens cooperation between the U.S. and the alliances within this area, and shows the potential, flexibility and combat readiness of the U.S., as well as the continuous commitment to safety and stability within the Indo-Pacific area.",1
保康县检察院副检察长王忠良27日介绍，通过3个月“义务巡山”等替代性劳动，被告人周某已经和野生猕猴建立了深厚感情，并对之前捕猎动物行为深感自责。,"Wang Zhongliang, Deputy Procurator-General of Baokang County Procuratorate, introduced on the 27th that through three months of ""compulsory mountain patrol"" and other alternative labor, the defendant Zhou Mou has established deep feelings with wild macaques and deeply blamed himself for previous animal hunting.",0
用这种新技术制备的混合基质膜，二氧化碳分离性能接近目前此类膜材料的理论分离上限。,"With the mixed matrix membrane prepared by this new technology, the carbon dioxide separation performance is close to the theoretical upper limit of the current separation of such membrane materials.",1
斯托尔滕贝格说，北约未来的安全“取决于理解、接受和应用最新先进技术的能力 ” 。,"Stoltenberg said North Atlantic Treaty Organization NATO's future security ""depends on the ability to understand, accept and apply the latest advanced technology"".",1
